system:index,city,greenSpaceArea_m2,.geo
00000000000000000aa2,Ashland,6.057680781819215E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000133f,Ashland,1.4712551592337248E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000b0d,Ashtabula,7397925.852300516,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000bb7,Ashwaubenon,286360.2985839844,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000395,Aspen Hill,1.5657776509253702E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000bd8,Aston,1.3807827113005054E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001216,Astoria,5.889938105819673E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000068b,Atascadero,8.14839384605662E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000216,Atascocita,1.5351560232159075E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001120,Atchison,7.825574173239815E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013c,Athens,7.303694675011837E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000777,Athens,1.634678798773054E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000008d7,Athens,1.2796751376088521E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000dd0,Athens,3.327369686211623E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ee5,Athens,1.845566684727095E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000fd6,Athol,4.1417524760040656E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,Atlanta,1.473351714629619E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000e6f,Atlantic Beach,6.058333053092387E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004fb,Atlantic City,2.9334708059314314E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001241,Atoka,2.1495015143390536E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000424,Attleboro,1.904602127423118E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000061d,Atwater,1.0972390128544953E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001bc,Auburn,2.74094392648254E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000022a,Auburn,2.7498212881169558E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000753,Auburn,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000851,Auburn,515857.23029776185,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000bc5,Auburn,6.327744149304491E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000e16,Auburn,1.735053185144041E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000e85,Auburn,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000815,Auburn Hills,515.0825881958008,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000c06,Auburndale,1.883457919954787E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001399,Audubon,1.1411986965267561E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001471,Audubon,1.0325737216672882E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013be,August,9.543474275299259E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000066,Augusta,9.712626424861103E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a6f,Augusta,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001371,Augusta,3.407481785042292E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000072,Aurora,6201856.070350529,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f9,Aurora,3429627.170975242,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000b7c,Aurora,2.7476796185319223E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000df9,Aurora,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b,Austin,7.278480551387253E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000077b,Austin,1204017.216617898,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000066c,Austintown,1.3110748460797317E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000e65,Avenal,2.2326699667492636E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000b7f,Avenel,2.731707122563106E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004d4,Aventura,2.7646245406367086E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000e58,Avocado Heights,3.28676523193512E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007ff,Avon,9016196.003031712,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000092d,Avon,5629915.447562482,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d6,Avon Lake,6645429.97208979,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000012b0,Avon Park,1.795225260066275E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000215,Avondale,2.1650599683378678E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000c5e,Azalea Park,1.2990357221841794E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000e68,Azle,7.327402839610858E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003de,Azusa,7.596624938243562E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000cf,Babylon,1.1467358285148716E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000011e6,Bacliff,5.8343179385377556E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a46,Badger,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000803,Bailey's Crossroads,9.731024172405232E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000dac,Bainbridge,2.1678185831681672E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000143d,Bainbridge,1.4434813629846131E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000080f,Bainbridge Island,2946837.7870546523,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000f56,Baker,2.3864126300499552E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001230,Baker City,4166111.228622705,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004e,Bakersfield,2.687167038775704E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013e0,Bala Cynwyd,7.96515520837544E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000725,Balch Springs,1.0767972648020414E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005bf,Baldwin,2.1023019882217582E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000964,Baldwin,151943.36168688606,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002ac,Baldwin Park,3.444524112541161E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
