city,state,country,greenspacearea_km2,adjusted_obesity_rate,adjusted_smoking_rate,adjusted_exercising_rate,adjusted_chronic_rate,adjusted_life_expectancy,population_city,population_state
Independent Hill,Virginia,United States,289.39,0.03981340335564633,0.013912069922569598,0.056326917247476904,0.020472232975488596,0.08777045739767485,9858.0,8715698
Sweet Home,Oregon,United States,82.14,0.07191142350824098,0.029788550838365197,0.13218669434524555,0.04049381129590269,0.18338576609868573,9852.0,4233358
DeRidder,Louisiana,United States,193.88,0.08635913339363398,0.036826463367360125,0.09884998061765086,0.04479476245854331,0.1574277469095921,9850.0,4573749
Plains,Pennsylvania,United States,34.63,0.025376581112190447,0.011852534890723682,0.03859671618261301,0.01405589073579411,0.058350941000485816,9848.0,12961683
Sturbridge,Massachusetts,United States,77.0,0.038235558350552507,0.015041193909959994,0.0750653976440994,0.022491504912089712,0.11105180550344296,9842.0,7001399
Philipstown,New York,United States,72.01,0.015129039503728334,0.005780197817039064,0.025483132984685266,0.007891226585001156,0.03905403220729872,9837.0,19571216
Peru,Illinois,United States,4.68,0.026164425269821427,0.01002708513334474,0.03916830130212789,0.0122205100062639,0.06016251080006843,9831.0,12549689
Jesup,Georgia,United States,233.25,0.03294337853414387,0.011396628249649772,0.043716753676390926,0.015492291526867657,0.06731133559949395,9820.0,11029227
Jennings,Louisiana,United States,120.48,0.08608734322762356,0.036710562822752195,0.09853887915580851,0.04465378401831845,0.15693228902591724,9819.0,4573749
Little River,South Carolina,United States,191.36,0.06392881435102088,0.029589908356758232,0.08676053376209976,0.03141644590964454,0.13662500895589605,9815.0,5373555
Plainville,Massachusetts,United States,151.64,0.03812678009066473,0.014998402462136493,0.07485184032505503,0.02242751770039102,0.11073586864568066,9814.0,7001399
Vidor,Texas,United States,259.94,0.011412305835358605,0.003857680845755021,0.01588078614835817,0.005336458503294447,0.024592715391688263,9806.0,30503301
Pleasant Valley,New York,United States,72.68,0.015064444641559321,0.005755518716874823,0.025374330343091615,0.007857534248255194,0.03888728733053685,9795.0,19571216
Madera Acres,California,United States,64.17,0.007063006206590585,0.0024883900870194585,0.01377411886552185,0.0036446117436143587,0.019856850189347196,9794.0,38965193
Alamosa,Colorado,United States,1.97,0.041649582058013376,0.018159217777293832,0.09862621031337568,0.02465655257834392,0.13044649100569788,9792.0,5877610
Lincoln City,Oregon,United States,133.99,0.07145887496403563,0.02960108736374292,0.13135482517660918,0.040238978135088026,0.18223169408304232,9790.0,4233358
Avon Park,Florida,United States,179.52,0.013680781413210703,0.005195233448054697,0.023508431352447505,0.007143445991075209,0.03355254935201992,9789.0,22610726
Marathon,Florida,United States,9.83,0.013680781413210703,0.005195233448054697,0.023508431352447505,0.007143445991075209,0.03355254935201992,9789.0,22610726
Bay St. Louis,Mississippi,United States,104.27,0.13151930985920285,0.060265810340546115,0.13251819069357654,0.07258534063115499,0.23939843997156166,9788.0,2939690
Terrace Heights,Washington,United States,49.53,0.039685455299454234,0.01264426178310687,0.07348694719488845,0.019780132294365205,0.09915104289327367,9781.0,7812880
Neshannock,Pennsylvania,United States,66.07,0.025198780127549794,0.011769490119454395,0.038326288337710464,0.013957408154481174,0.057942105203467785,9779.0,12961683
Heath,Texas,United States,72.98,0.011371572538985207,0.003843911844164013,0.015824103758475188,0.0053174113844268855,0.024504938006545584,9771.0,30503301
Washington,North Carolina,United States,73.15,0.030712212303069607,0.0134197056690832,0.04539282991421432,0.0160315946919249,0.06853957056491486,9759.0,10835491
Green Cove Springs,Florida,United States,226.93,0.013637456842385336,0.005178781079386836,0.02343398438422543,0.007120823984156899,0.03344629447103998,9758.0,22610726
Fultondale,Alabama,United States,273.75,0.07314419900447648,0.03093827738570546,0.08765845259283214,0.0429698297023687,0.13979517929837282,9756.0,5108468
Sedona,Arizona,United States,12.76,0.043509599340307764,0.017167944318013,0.0707686254330307,0.022016905690276214,0.09999344667667114,9739.0,7431344
Brownsville,Tennessee,United States,18.59,0.053160413213294795,0.026238558706819026,0.06518641928725352,0.031158288464347594,0.10085446002933562,9739.0,7126489
Eagle Point,Oregon,United States,54.05,0.07105742061030511,0.029434789120126387,0.13061687672056083,0.040012916460171806,0.18120792052077805,9735.0,4233358
Cambridge,Minnesota,United States,13.1,0.05695337069301305,0.022713546645427823,0.0983123660772249,0.024917099678193208,0.13407772683980154,9726.0,5737915
Morrisville,Pennsylvania,United States,216.65,0.025049324227417073,0.011699684369691807,0.038098972178227164,0.013874625694826823,0.057598446127713504,9721.0,12961683
Thomaston,Georgia,United States,289.65,0.03260790624764546,0.011280572972158431,0.04327157288538898,0.015334528884027865,0.06662588411681072,9720.0,11029227
Decatur,Indiana,United States,100.0,0.05338938727950035,0.023933173608051878,0.06599324793699513,0.026765501845691153,0.10621230891147283,9718.0,6862199
Ingleside,Texas,United States,35.28,0.011304071647852146,0.0038210946415274862,0.015730172940954818,0.005285847587446356,0.024359478339737724,9713.0,30503301
Mentone,California,United States,28.22,0.007000265596015397,0.0024662857437919017,0.013651763511090525,0.0036122366954527848,0.019680461995915173,9707.0,38965193
Harvard,Illinois,United States,21.2,0.02582908628253656,0.009898571988517006,0.03866629683014455,0.012063884611005101,0.05939143193110204,9705.0,12549689
Flowery Branch,Georgia,United States,216.89,0.03254081179034578,0.011257361916660161,0.04318253672718859,0.015302976355459904,0.06648879382027408,9700.0,11029227
Rolesville,North Carolina,United States,250.48,0.03051394717599784,0.013333073692738059,0.04509979289355692,0.015928101458438756,0.0680971079206286,9696.0,10835491
Cypress Gardens,Florida,United States,127.13,0.013545217433531325,0.005143753455771389,0.023275484387365535,0.00707266100168566,0.03322007440185689,9692.0,22610726
Eidson Road,Texas,United States,14.27,0.011271485010753427,0.003810079440254679,0.01568482702904843,0.0052706098923523065,0.02428925643162358,9685.0,30503301
Sunbury,Pennsylvania,United States,21.41,0.024943674366978422,0.011650338925894115,0.03793828316893724,0.013816107059553917,0.057355514712094095,9680.0,12961683
Hyrum,Utah,United States,1.33,0.08808409314475615,0.019542773077132394,0.15832478478430445,0.043617203679396935,0.2226176759221168,9680.0,3417734
Canonsburg,Pennsylvania,United States,2.63,0.024923059760063565,0.011640710546616516,0.037906929215905064,0.013804688789256767,0.05730811346026592,9672.0,12961683
Lisbon,Maine,United States,0.25,0.2293034716082429,0.11084155727286665,0.3581567819379504,0.13023882979561832,0.5389670722393141,9669.0,1395722
Middleton,Massachusetts,United States,90.69,0.03755957916410706,0.01477527562705682,0.07373829144718076,0.022093870096533564,0.10908848360163448,9668.0,7001399
Mount Airy,Maryland,United States,323.98,0.051930624846588,0.015328919382426578,0.08086787061953614,0.024557554520826252,0.1201286743439144,9667.0,6180253
Pike Road,Alabama,United States,287.97,0.07235697669046766,0.030605300845576403,0.08671501906246647,0.04250736228552278,0.13829061863556746,9651.0,5108468
Silver City,New Mexico,United States,2.07,0.14787376482178388,0.07074207884992748,0.24691267521168236,0.07530608393701957,0.34001837898836107,9650.0,2114371
Orange Cove,California,United States,73.02,0.006948342332091106,0.0024479924942242687,0.013550503907423224,0.003585443552146656,0.019534485559971435,9635.0,38965193
Monett,Missouri,United States,311.84,0.05658424352130578,0.027670316886792393,0.07010849952777173,0.027359414449862143,0.11674386506730947,9632.0,6196156
Morehead City,North Carolina,United States,115.04,0.030312534983416996,0.01324506660565728,0.044802104491619255,0.015822965475214737,0.06764762205976636,9632.0,10835491
St. Stephens,North Carolina,United States,265.11,0.03028735845934439,0.01323406571977218,0.04476489344137704,0.015809823477311732,0.06759143632715858,9624.0,10835491
Bastrop,Louisiana,United States,144.93,0.0843689279844609,0.03597777228265041,0.09657191507448266,0.043762436460767745,0.15379971660010203,9623.0,4573749
Sturgeon Bay,Wisconsin,United States,0.26,0.061356244464726935,0.024412298858644668,0.08951176248169712,0.02766727203979729,0.1264557080877794,9620.0,5910955
Bluefield,West Virginia,United States,188.47,0.2228040570124023,0.12118367003357491,0.26682144388558426,0.13857325497112827,0.3956130573293387,9619.0,1770071
South Strabane,Pennsylvania,United States,2.45,0.024781334337523914,0.011574515439083026,0.037691370788808826,0.013726188180963845,0.05698222985394721,9617.0,12961683
Middleton,Idaho,United States,90.69,0.1624576658526431,0.06067695953532452,0.279896942372626,0.08025017228865501,0.3836349699652777,9614.0,1964726
Herkimer,New York,United States,0.07,0.014776843707616328,0.005645637961381653,0.024889899534091292,0.007707523129886257,0.03814487561733517,9608.0,19571216
Sandy Hook,Connecticut,United States,268.39,0.08124636456727569,0.027347632517743123,0.1425794044857093,0.0424817592508631,0.20816062032922922,9604.0,3617176
Jessup,Maryland,United States,186.85,0.051581448202848657,0.015225849168310747,0.08032412265323119,0.024392431830865174,0.11932094042104747,9602.0,6180253
Oil City,Pennsylvania,United States,3.37,0.024734951471965486,0.01155285158570843,0.03762082439448643,0.013700497072795255,0.05687557703733381,9599.0,12961683
Hartland,Wisconsin,United States,18.66,0.06122230671693492,0.024359007977560312,0.08931636258438781,0.027606875707901685,0.1261796613237624,9599.0,5910955
Middletown,Kentucky,United States,157.89,0.07991195173650742,0.037306375346486224,0.07821620740257622,0.04748084135007337,0.15579651067992825,9594.0,4526154
Manhattan,Illinois,United States,12.22,0.025523022921125776,0.009781278245221854,0.03820811814539787,0.011920932861364135,0.058687669471331125,9590.0,12549689
Greenville,New York,United States,181.12,0.01474147033071425,0.005632123216053617,0.02483031713512334,0.0076890725645253725,0.03805356294672749,9585.0,19571216
Southport,New York,United States,0.01,0.014739932357805463,0.005631535618430658,0.024827726596037773,0.00768827036603142,0.0380495928306141,9584.0,19571216
Kensington,Connecticut,United States,62.29,0.08104333325223877,0.027279291911701285,0.14222310443285038,0.042375599086137916,0.2076404355220758,9580.0,3617176
Indianola,Mississippi,United States,86.91,0.12861696301310682,0.05893587419081604,0.12959380070687723,0.07098353908065136,0.23411543394031345,9572.0,2939690
Topsham,Maine,United States,0.05,0.2268607931952065,0.10966080637834755,0.3543414806100355,0.12885144749455837,0.533225671014715,9566.0,1395722
McKee City,New Jersey,United States,221.86,0.029961830150790444,0.011016892873314699,0.052597286945284316,0.013796856495552987,0.07979525211980272,9566.0,9290841
Girard,Ohio,United States,27.61,0.03092045730779951,0.014364621898898984,0.03960415529187968,0.01647467935297454,0.06111051011226517,9565.0,11785935
Roanoke,Texas,United States,226.14,0.011131827994616058,0.0037628714347997944,0.015490487406592486,0.005205305484806383,0.023988305396848687,9565.0,30503301
Parsons,Kansas,United States,134.04,0.11611272192307143,0.04911210367054281,0.1590451569198373,0.056267509503337136,0.24848772982976633,9564.0,2940546
LaSalle,Illinois,United States,77.32,0.025448503146173584,0.00975271976859347,0.03809656159606824,0.01188612721797329,0.058516318611560814,9562.0,12549689
Rathdrum,Idaho,United States,0.37,0.16147758007986868,0.06031090340332444,0.2782083608604966,0.07976603353342909,0.3813205505500513,9556.0,1964726
Lincoln Village,Ohio,United States,101.0,0.03088166530699516,0.01434660041821035,0.039554468949642096,0.016454010649133904,0.06103384245713216,9553.0,11785935
Pleasant Grove,Alabama,United States,19.64,0.07159224644257339,0.030281837920879608,0.08579854077582555,0.0420581082234439,0.13682904542027083,9549.0,5108468
Mahomet,Illinois,United States,61.82,0.025403258997095467,0.009735380693497664,0.03802883083397525,0.011864995220200278,0.05841228416098598,9545.0,12549689
Greenwood,Arkansas,United States,2.96,0.11635488367301967,0.06191075361211474,0.14559915924859146,0.0696884864779583,0.22959867419970192,9544.0,3067732
Hillsborough,North Carolina,United States,193.39,0.03000412256352758,0.013110305753564836,0.044346269126152194,0.01566197600090296,0.06695934683532107,9534.0,10835491
Meridianville,Alabama,United States,202.78,0.07143480197977162,0.030215242612853795,0.08560985406975243,0.041965614740074715,0.13652813328770974,9528.0,5108468
Tomah,Wisconsin,United States,3.1,0.060763091581647985,0.02417629638527108,0.08864642007932728,0.02739980256997389,0.1252332152757042,9527.0,5910955
Mooresville,Indiana,United States,240.4,0.05232907119131929,0.023457859499556918,0.06468261850173683,0.02623393754684176,0.1041029267731816,9525.0,6862199
Esopus,New York,United States,113.97,0.0146476539832783,0.005596279761053171,0.024672294250903982,0.007640138456394329,0.03781138586381143,9524.0,19571216
Bargersville,Indiana,United States,9.82,0.05230160186260993,0.023445545662549278,0.06464866437128973,0.026220166451016647,0.10404827956752638,9520.0,6862199
Fairview,Tennessee,United States,28.65,0.05195954136742511,0.02564584046926895,0.06371388491584005,0.030454435557256878,0.09857619930375253,9519.0,7126489
Cape Elizabeth,Maine,United States,0.1,0.22574617294848118,0.10912201713521748,0.3526005178681715,0.12821837013388054,0.5306058083199949,9519.0,1395722
Grinnell,Iowa,United States,35.56,0.11091704282252221,0.0459682931483715,0.14383627210942052,0.047451141314448005,0.22984146574185751,9511.0,3207004
