city,lat,lng
Burbank,34.1879,-118.3235
Davie,26.0789,-80.287
El Cajon,32.8017,-116.9604
Jurupa Valley,34.001,-117.4706
Allen,33.1088,-96.6735
Auburn,32.6087,-85.4903
Renton,47.4784,-122.1918
Holland,42.7677,-86.0984
Brockton,42.0821,-71.0242
Rio Rancho,35.2873,-106.6982
San Mateo,37.5522,-122.3121
Rialto,34.1175,-117.3892
Spokane Valley,47.6626,-117.2346
Charlottesville,38.0375,-78.4855
Menifee,33.6909,-117.1849
Daly City,37.6862,-122.4685
Woodbridge,40.5611,-74.2943
Wichita Falls,33.9072,-98.5291
Riverview,27.8227,-82.3023
Norwalk,33.9069,-118.0829
Lee's Summit,38.9171,-94.3816
Longmont,40.1686,-105.1005
Vacaville,38.3587,-121.9673
Highlands Ranch,39.5419,-104.9708
Kingsport,36.5224,-82.5454
San Tan Valley,33.1786,-111.5629
Quincy,42.2506,-71.0187
Edinburg,26.3196,-98.1597
Lynn,42.4781,-70.9664
San Angelo,31.4424,-100.4504
Hesperia,34.3975,-117.3147
Bowling Green,36.9716,-86.4378
Federal Way,47.3091,-122.3358
Carmel,39.965,-86.146
Bismarck,46.8143,-100.7694
Fishers,39.9588,-85.9659
Lafayette,39.9946,-105.0998
Vista,33.1896,-117.2386
Boca Raton,26.3752,-80.108
St. Augustine,29.8976,-81.31
Beaverton,45.4779,-122.8168
Goodyear,33.2614,-112.3622
Portsmouth,36.8468,-76.354
Orem,40.2981,-111.6994
Sunrise,26.1547,-80.2997
Greece,43.246,-77.6988
Portsmouth,43.058,-70.7826
Arden-Arcade,38.6017,-121.3845
Lawrence,38.9597,-95.2642
Toms River,39.9895,-74.1654
Sandy,40.5709,-111.8506
Slidell,30.2887,-89.7828
Buckeye,33.4314,-112.6429
Livonia,42.3972,-83.3733
Williamsburg,37.2693,-76.7076
Suffolk,36.6953,-76.6398
Compton,33.893,-118.2274
La Crosse,43.8241,-91.2268
Edmond,35.6689,-97.416
Carson,33.8374,-118.2559
San Marcos,33.135,-117.1743
Greenburgh,41.033,-73.8412
Tracy,37.7269,-121.4523
Prescott Valley,34.598,-112.3185
Middletown,39.5033,-84.3659
Fall River,41.7136,-71.1015
Santa Fe,35.6619,-105.9819
Plantation,26.1259,-80.2617
New Braunfels,29.6994,-98.1148
Roswell,34.0391,-84.3513
Conroe,30.3238,-95.4824
South Gate,33.9447,-118.1926
Santa Monica,34.0235,-118.481
Kirkland,47.697,-122.2057
Hoover,33.3763,-86.8068
O'Fallon,38.785,-90.7175
Hamilton,40.2046,-74.6765
Alafaya,28.528,-81.1868
Palm Coast,29.5389,-81.2457
Norwalk,41.1144,-73.4215
Lawton,34.6175,-98.4202
Chino,33.9836,-117.6654
Mount Pleasant,32.8537,-79.8203
Manteca,37.7927,-121.2264
Westminster,33.7523,-117.9938
Florence,34.178,-79.7898
Joplin,37.0757,-94.5018
Germantown,39.1755,-77.2643
San Leandro,37.7074,-122.1599
Cheektowaga,42.9082,-78.7466
Town 'n' Country,28.0106,-82.5763
