system:index,city,greenSpaceArea_m2,.geo
00000000000000000d46,Deming,5064520.1365225995,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000133a,Denham Springs,1.5004491526774532E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007f7,Denison,1.7331136483681747E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000d48,Dennis,3.413140931997501E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001023,Dent,2.30176699567061E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000063,Denton,5.9063924243115075E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000c0f,Dentsville,2.109029424580506E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012,Denver,1.0009946150504438E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000b97,Denville,9.238912697656943E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000cfa,Depew,146.31057739257812,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000614,Deptford,1.4694381843687385E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007b0,Derby,4.379817923455231E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000f67,Derby,2.3816294576410264E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013e5,Derby,7571526.229629773,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005a4,Derry,2809678.267659326,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000801,Derry,3.506133417191532E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000050,Des Moines,4.548123327549559E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005f1,Des Moines,1.881163102728104E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000139b,Des Peres,1.8722956118892866E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000345,Des Plaines,1.5684605401683275E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005ff,Desert Hot Springs,1628382.0334306005,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000df3,Destin,3.64441338510354E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000fb5,Destrehan,2.3275284719976205E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,Detroit,508385.8029022217,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001276,Detroit Lakes,2673.2969818115234,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000390,Diamond Bar,6.444313938521686E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000f90,Diamond Springs,1.9747015652370787E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001345,Diamondhead,1.3380610446694323E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007e4,Dickinson,546.1011352539062,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000094a,Dickinson,1.0810663200719273E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000c53,Dickson,2.5173558770047373E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000011b3,Difficult Run,1.7971736186533755E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000f34,Dingman,1.8151629826767884E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000080d,Dinuba,1.0466599907361372E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000cce,Discovery Bay,6.944095480830061E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000810,Dix Hills,3.83036588583489E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a5a,Dixon,1.374048337068482E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000cab,Dixon,4.005797745763732E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000106c,Dobbs Ferry,1.1055247118661058E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000f81,Doctor Phillips,1.360805620696685E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000070c,Dodge City,4454525.631475352,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000960,Dolton,3726792.980756902,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000bd3,Donna,2.2653751513315447E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000028c,Doral,2.219550843208684E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001151,Doraville,1.0151937599211164E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002a3,Dothan,1.9495171088718084E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000c24,Douglas,1058932.382629245,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001017,Douglas,1.8324057820564112E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013de,Douglas,1.3610480134200555E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000116f,Douglass,1.8361799913774875E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000577,Douglasville,2.4519754124523035E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000015f,Dover,1.4761367871507037E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000028d,Dover,310850.70978276874,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000008d9,Dover,4.0432209712863274E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000aca,Dover,8.731904011315681E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000eae,Dover,1.0561015825352758E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003d9,Downers Grove,4112777.2654330097,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000198,Downey,1.1909726712366262E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000b17,Doylestown,1.1687805548533821E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000602,Dracut,2756008.762787821,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000f9e,Dranesville,1.7515348858860636E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003d1,Draper,1.8457178906816736E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000673,Drexel Heights,2572687.0183366365,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000006b7,Drexel Hill,9.015638006032923E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000e04,Dryden,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001279,DuPont,7748243.322321894,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000939,Duarte,7.023150454266538E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002b6,Dublin,6.858884472837582E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003f1,Dublin,1.2245592895277788E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000c67,Dublin,2.012796460983739E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002d7,Dubuque,5.483471550985225E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000fde,Dudley,1.2466579695616165E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000017c,Duluth,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000621,Duluth,1.2134537165600415E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000d87,Dumas,2855398.3111558845,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000b0b,Dumont,5.7743076819959514E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000008cd,Duncan,9.681086662574853E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004c0,Duncanville,8.781605578076622E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002f7,Dundalk,7.631256911359203E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000054c,Dunedin,6.4652737524420165E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000f16,Dunkirk,379268.9020690918,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000dd3,Dunmore,5446067.019211803,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000014b2,Dunn,2.0706802761525005E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000146b,Dunn Loring,1.6442087169777405E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003c0,Dunwoody,1.3886004358662072E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a4d,Durango,1.253342332384057E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a8a,Durant,1.4998750049758494E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006e,Durham,2.376879153632868E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000d07,Durham,1621696.7406415455,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000c59,Duxbury,7.8545901788177E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
